MATCH UP,GAME DATE,W/L,MIN,eFG%,FTARate,TOV%,OREB%,OppeFG%,OppFTA Rate,OppTOV%,OppOREB%
DEN @ GSW,9/30/2017,W,48,52.5,NaN,16.7,22,43.2,0.253,13,31
LAL vs. MIN,9/30/2017,L,48,46.8,0.183,16.1,28.3,44.9,0.393,16.1,34.5
GSW vs. DEN,9/30/2017,L,48,43.2,0.253,13,31,52.5,0.42,16.7,22
MIN @ LAL,9/30/2017,W,48,44.9,0.393,16.1,34.5,46.8,0.183,16.1,28.3
LAC @ TOR,10/1/2017,L,48,50.6,0.571,17.4,13.6,57.1,0.513,18.8,23.3
ATL @ MIA,10/1/2017,L,48,39.1,0.31,16,28.3,54.7,0.392,21,24.4
TOR vs. LAC,10/1/2017,W,48,57.1,0.513,18.8,23.3,50.6,0.571,17.4,13.6
MIA vs. ATL,10/1/2017,W,48,54.7,0.392,21,24.4,39.1,0.31,16,28.3
GUA @ WAS,10/2/2017,L,44,38.7,0.547,11.3,30.8,65,0.163,17.5,36.4
SAS @ SAC,10/2/2017,L,48,46.3,0.317,9.4,24,56,0.179,18.6,40.9
UTA vs. SYD,10/2/2017,W,48,63,0.286,16.7,28.6,42,0.21,19.8,26.4
MEM vs. ORL,10/2/2017,W,48,42.2,0.278,17,30.5,39.2,0.273,15.1,26.7
DEN @ LAL,10/2/2017,W,48,54.1,0.326,16.5,24,50.6,0.321,21.2,31.9
SYD @ UTA,10/2/2017,L,48,42,0.21,19.8,26.4,63,0.286,16.7,28.6
CHA @ BOS,10/2/2017,L,48,41.3,0.3,19.2,29.1,47.8,0.143,12.1,29.1
BOS vs. CHA,10/2/2017,W,48,47.8,0.143,12.1,29.1,41.3,0.3,19.2,29.1
ORL @ MEM,10/2/2017,L,48,39.2,0.273,15.1,26.7,42.2,0.278,17,30.5
MIL @ DAL,10/2/2017,L,48,55.3,0.141,19.6,31.1,54.8,0.325,18.4,30.6
WAS vs. GUA,10/2/2017,W,44,65,0.163,17.5,36.4,38.7,0.547,11.3,30.8
SAC vs. SAS,10/2/2017,W,48,56,0.179,18.6,40.9,46.3,0.317,9.4,24
DAL vs. MIL,10/2/2017,W,48,54.8,0.325,18.4,30.6,55.3,0.141,19.6,31.1
LAL vs. DEN,10/2/2017,L,48,50.6,0.321,21.2,31.9,54.1,0.326,16.5,24
OKC vs. HOU,10/3/2017,L,48,47.4,NaN,19.6,31.3,57.7,0.231,16.7,20.4
CHI @ NOP,10/3/2017,W,43,60.2,0.145,13.3,20.9,53.5,0.389,13.3,14.3
NOP vs. CHI,10/3/2017,L,43,53.5,0.389,13.3,14.3,60.2,0.145,13.3,20.9
BKN @ NYK,10/3/2017,W,48,52.9,0.322,15.8,14,43.6,0.33,13,18.2
POR vs. PHX,10/3/2017,L,48,45.2,0.2,11.5,32.3,51.2,0.476,17.9,28.6
NYK vs. BKN,10/3/2017,L,48,43.6,NaN,13,18.2,52.9,0.322,15.8,14
PHX @ POR,10/3/2017,W,48,51.2,0.476,17.9,28.6,45.2,0.2,11.5,32.3
HOU @ OKC,10/3/2017,W,48,57.7,0.231,16.7,20.4,47.4,0.408,19.6,31.3
TOR @ LAC,10/4/2017,L,48,41.9,0.256,24.8,33.3,52.1,0.423,23.6,20
MEM @ PHI,10/4/2017,W,48,49.5,0.28,15.2,26,41,0.213,13.8,7.7
MIL vs. IND,10/4/2017,L,48,44.4,0.213,19,13.6,48.4,0.191,12.6,19.1
LAC vs. TOR,10/4/2017,W,48,52.1,0.423,23.6,20,41.9,0.256,24.8,33.3
ATL @ CLE,10/4/2017,W,48,55.6,0.321,18.7,17.1,45.5,0.205,17.9,18.8
CHI @ DAL,10/4/2017,L,48,38.9,0.235,15.9,8,61,0.341,15.7,7.9
DAL vs. CHI,10/4/2017,W,48,61,0.341,15.7,7.9,38.9,0.235,15.9,8
UTA vs. MAC,10/4/2017,W,48,65.3,0.36,20.4,17.6,35.5,0.226,17.3,24.2
LAL vs. DEN,10/4/2017,L,48,54.5,0.423,12.1,14,61.1,0.189,18.3,28.9
MAC @ UTA,10/4/2017,L,48,35.5,0.226,17.3,24.2,65.3,0.36,20.4,17.6
DEN @ LAL,10/4/2017,W,48,61.1,0.189,18.3,28.9,54.5,0.423,12.1,14
CLE vs. ATL,10/4/2017,L,48,45.5,NaN,17.9,18.8,55.6,0.321,18.7,17.1
PHI vs. MEM,10/4/2017,L,48,41,0.213,13.8,7.7,49.5,0.28,15.2,26
IND @ MIL,10/4/2017,W,48,48.4,0.191,12.6,19.1,44.4,0.213,19,13.6
CHA @ DET,10/4/2017,W,48,48.9,0.379,12.8,16.3,51.8,0.313,17.3,17.5
DET vs. CHA,10/4/2017,L,48,51.8,0.313,17.3,17.5,48.9,0.379,12.8,16.3
ORL vs. DAL,10/5/2017,W,48,54,NaN,10.7,18.8,39.6,0.275,16.3,28.6
POR vs. TOR,10/5/2017,W,48,50.6,0.202,15.7,24.4,48.7,0.44,18.5,10
MIA @ BKN,10/5/2017,L,48,39.5,0.384,17.9,24.2,50.5,0.172,21.2,34
GSW vs. MIN,10/5/2017,L,48,51.3,0.313,18.6,36.4,48.9,0.33,14.7,34.5
MIN @ GSW,10/5/2017,W,48,48.9,0.33,14.7,34.5,51.3,0.313,18.6,36.4
HOU vs. SDS,10/5/2017,W,48,72.5,0.209,13.4,21.6,49.3,0.173,27,4.5
SDS @ HOU,10/5/2017,L,48,49.3,0.173,27,4.5,72.5,0.209,13.4,21.6
BKN vs. MIA,10/5/2017,W,48,50.5,0.172,21.2,34,39.5,0.384,17.9,24.2
DAL @ ORL,10/5/2017,L,48,39.6,0.275,16.3,28.6,54,0.284,10.7,18.8
TOR @ POR,10/5/2017,L,48,48.7,0.44,18.5,10,50.6,0.202,15.7,24.4
WAS vs. NYK,10/6/2017,W,48,52.3,0.198,12.5,17,51.9,0.299,28.2,27.9
CHI vs. MIL,10/6/2017,W,48,62,0.205,18.3,18.4,52.6,0.403,14.4,12.5
OKC vs. NOP,10/6/2017,W,48,56.1,0.405,18.3,7.5,45.1,0.317,13.9,12.2
MIL @ CHI,10/6/2017,L,48,52.6,0.403,14.4,12.5,62,0.205,18.3,18.4
UTA vs. PHX,10/6/2017,W,48,46.4,0.309,13.9,35.2,52,0.392,18.7,10.5
NYK @ WAS,10/6/2017,L,48,51.9,0.299,28.2,27.9,52.3,0.198,12.5,17
PHI vs. BOS,10/6/2017,L,48,55.4,0.289,22.2,23.8,45.9,0.268,15.6,30.9
ATL @ DET,10/6/2017,L,48,44.7,0.176,14,14,54.9,0.12,12,31.8
SAS vs. SAC,10/6/2017,W,48,64.5,0.084,18.1,33.3,47.6,0.226,14.6,23.8
SAC @ SAS,10/6/2017,L,48,47.6,0.226,14.6,23.8,64.5,0.084,18.1,33.3
BOS @ PHI,10/6/2017,W,48,45.9,0.268,15.6,30.9,55.4,0.289,22.2,23.8
DET vs. ATL,10/6/2017,W,48,54.9,0.12,12,31.8,44.7,0.176,14,14
CLE vs. IND,10/6/2017,L,48,51.1,0.253,18.3,26.1,52.4,0.325,13.2,15.2
PHX @ UTA,10/6/2017,L,48,52,0.392,18.7,10.5,46.4,0.309,13.9,35.2
NOP @ OKC,10/6/2017,L,48,45.1,0.317,13.9,12.2,56.1,0.405,18.3,7.5
IND @ CLE,10/6/2017,W,48,52.4,0.325,13.2,15.2,51.1,0.253,18.3,26.1
ORL vs. MIA,10/7/2017,W,48,49.4,0.207,22.5,27.3,41.5,0.25,15.5,17.6
MIA @ ORL,10/7/2017,L,48,41.5,0.25,15.5,17.6,49.4,0.207,22.5,27.3
NYK @ BKN,10/8/2017,L,48,40.2,0.293,23.1,19.1,58.3,0.321,15.6,23.8
CHI vs. NOP,10/8/2017,L,48,43.1,0.287,17.4,26,46.3,0.469,19.4,24.4
POR @ LAC,10/8/2017,W,48,60.6,0.447,13.3,21.6,47.7,0.356,17.9,23.5
CLE @ WAS,10/8/2017,L,48,51.3,0.244,20.8,13.5,48.8,0.279,21.5,24.4
MIN vs. GSW,10/8/2017,L,48,54.1,0.507,25.2,18.8,71.8,0.294,19.3,21.9
MEL @ OKC,10/8/2017,L,48,41.4,0.296,17.7,38.9,38.4,0.378,15.5,35
OKC vs. MEL,10/8/2017,W,48,38.4,0.378,15.5,35,41.4,0.296,17.7,38.9
LAC vs. POR,10/8/2017,L,48,47.7,0.356,17.9,23.5,60.6,0.447,13.3,21.6
NOP @ CHI,10/8/2017,W,48,46.3,0.469,19.4,24.4,43.1,0.287,17.4,26
SAC @ LAL,10/8/2017,L,48,35.6,0.2,12.4,9.6,45.7,0.214,20.6,5.9
DEN @ SAS,10/8/2017,L,48,44.9,0.292,14.2,19.2,67.1,0.228,19.8,16.1
SAS vs. DEN,10/8/2017,W,48,67.1,0.228,19.8,16.1,44.9,0.292,14.2,19.2
WAS vs. CLE,10/8/2017,W,48,48.8,0.279,21.5,24.4,51.3,0.244,20.8,13.5
